Tahun,Bulan,Tanggal,Jam UTC,Koofesian PC1,Koofesien PC2,Amplitudo PC1+PC2,Curah Hujan
2020,7,30,0,-0.92801,0.95901,1.33451,0.0
2020,7,31,0,-1.16209,1.08457,1.58957,0.0
2020,8,1,0,-1.23151,1.15891,1.69106,0.0
2020,8,2,0,-1.30073,1.1102,1.7101,0.0
2020,8,3,0,-1.3763,1.0216,1.71402,0.0
2020,8,4,0,-1.2693,0.96397,1.59385,0.0
2020,8,5,0,-1.1482,0.84728,1.42697,0.0
2020,8,6,0,-1.1672,0.59673,1.3109,0.0
2020,8,7,0,-1.15782,0.33527,1.20539,0.0
2020,8,8,0,-1.18572,0.21808,1.20561,1.0
2020,8,9,0,-1.20704,0.0665,1.20887,0.0
2020,8,10,0,-1.19282,-0.08219,1.19565,0.0
2020,8,11,0,-1.09802,-0.22868,1.12158,0.0
2020,8,12,0,-0.98238,-0.34391,1.04084,0.0
2020,8,13,0,-0.99098,-0.52385,1.12092,0.0
2020,8,14,0,-0.99107,-0.6193,1.16865,19.0
2020,8,15,0,-0.90466,-0.66341,1.12184,0.0
2020,8,16,0,-0.81939,-0.73907,1.10346,0.0
2020,8,17,0,-0.67618,-0.95597,1.17093,0.0
2020,8,18,0,-0.51104,-1.13893,1.24833,0.0
2020,8,19,0,-0.40103,-1.27281,1.33449,0.0
2020,8,20,0,-0.25558,-1.36123,1.38502,0.0
2020,8,21,0,-0.03203,-1.43666,1.43701,0.0
2020,8,22,0,0.23018,-1.48449,1.50223,0.0
2020,8,23,0,0.49192,-1.57645,1.65142,0.0
2020,8,24,0,0.72948,-1.55416,1.71685,0.0
2020,8,25,0,0.90316,-1.42965,1.69103,0.0
2020,8,26,0,0.98838,-1.27755,1.61524,0.0
2020,8,27,0,1.04979,-1.06249,1.49364,0.0
2020,8,28,0,1.15266,-0.82198,1.41572,0.0
2020,8,29,0,1.19043,-0.52117,1.29952,0.0
2020,8,30,0,1.22175,-0.32219,1.26352,0.0
2020,8,31,0,1.30225,-0.1894,1.31595,0.0
2020,9,1,0,1.43772,0.01041,1.43776,0.0
2020,9,2,0,1.51267,0.14762,1.51986,0.0
2020,9,3,0,1.48629,0.26493,1.50972,0.0
2020,9,4,0,1.46801,0.38317,1.51719,0.0
2020,9,5,0,1.42203,0.46745,1.49689,0.0
2020,9,6,0,1.33745,0.51342,1.43261,0.0
2020,9,7,0,1.234,0.55211,1.35188,0.0
2020,9,8,0,0.97825,0.63141,1.16433,0.0
2020,9,9,0,0.68554,0.82825,1.07516,0.0
2020,9,10,0,0.34022,0.94679,1.00606,0.0
2020,9,11,0,-0.0035,1.02549,1.02549,0.0
2020,9,12,0,-0.29104,1.09466,1.13269,0.0
2020,9,13,0,-0.49827,1.17387,1.27524,0.0
2020,9,14,0,-0.65877,1.20418,1.3726,0.0
2020,9,15,0,-0.80712,1.18665,1.43512,0.0
2020,9,16,0,-0.89779,1.08891,1.41129,0.0
2020,9,17,0,-0.88565,0.99574,1.33262,0.0
2020,9,18,0,-0.88396,0.83319,1.21474,0.0
2020,9,19,0,-0.87569,0.78177,1.17388,0.0
2020,9,20,0,-0.85936,0.75466,1.14369,0.0
2020,9,21,0,-0.77056,0.71074,1.04829,0.0
2020,9,22,0,-0.65037,0.67078,0.93431,17.0
2020,9,23,0,-0.56296,0.61179,0.83139,15.0
2020,9,24,0,-0.57898,0.57873,0.81863,0.0
2020,9,25,0,-0.64689,0.52924,0.8358,17.0
2020,9,26,0,-0.63945,0.45884,0.78704,0.0
2020,9,27,0,-0.63398,0.46661,0.78719,0.0
2020,9,28,0,-0.56129,0.47606,0.73599,0.0
2020,9,29,0,-0.43938,0.51907,0.68007,0.0
2020,9,30,0,-0.32848,0.50292,0.60069,0.0
2020,10,1,0,-0.36898,0.38866,0.53591,0.0
2020,10,2,0,-0.464,0.28232,0.54314,0.0
2020,10,3,0,-0.53944,0.28799,0.6115,24.0
2020,10,4,0,-0.54195,0.42706,0.68999,1.0
2020,10,5,0,-0.55112,0.69142,0.88419,0.0
2020,10,6,0,-0.55007,0.90236,1.05681,0.0
2020,10,7,0,-0.59954,0.97004,1.14036,0.0
2020,10,8,0,-0.70498,0.97609,1.20406,0.0
2020,10,9,0,-0.86882,0.9709,1.30288,0.0
2020,10,10,0,-0.97497,1.02843,1.41712,0.0
2020,10,11,0,-1.0302,1.04151,1.46494,11.0
2020,10,12,0,-0.99469,0.95413,1.37832,0.0
2020,10,13,0,-0.97998,0.78836,1.25773,0.0
2020,10,14,0,-0.9769,0.55969,1.12588,0.0
2020,10,15,0,-0.98246,0.26916,1.01866,0.0
2020,10,16,0,-1.00875,0.04246,1.00964,0.0
2020,10,17,0,-1.05306,-0.06953,1.05536,10.0
2020,10,18,0,-0.97793,-0.13546,0.98727,4.0
2020,10,19,0,-0.92165,-0.23037,0.95001,0.0
2020,10,20,0,-0.86725,-0.26851,0.90787,20.0
2020,10,21,0,-0.81762,-0.35229,0.89028,1.0
2020,10,22,0,-0.81001,-0.40832,0.9071,17.0
2020,10,23,0,-0.76691,-0.50619,0.91891,13.0
2020,10,24,0,-0.66927,-0.50818,0.84034,60.0
2020,10,25,0,-0.59151,-0.47482,0.75852,0.0
2020,10,26,0,-0.47235,-0.60823,0.7701,22.0
2020,10,27,0,-0.48015,-0.74423,0.88567,28.0
2020,10,28,0,-0.4969,-0.80062,0.94228,0.0
2020,10,29,0,-0.53593,-0.86142,1.01453,0.0
2020,10,30,0,-0.55538,-0.86825,1.03068,3.0
2020,10,31,0,-0.50304,-0.93589,1.06251,25.0
2020,11,1,0,-0.41718,-0.90934,1.00047,153.0
2020,11,2,0,-0.33778,-0.96483,1.02225,7.0
2020,11,3,0,-0.25595,-0.98804,1.02065,0.0
2020,11,4,0,-0.18583,-0.8957,0.91477,0.0
2020,11,5,0,-0.04811,-0.83918,0.84055,3.0
2020,11,6,0,0.13336,-0.83457,0.84516,6.0
2020,11,7,0,0.37686,-0.8441,0.92441,0.0
2020,11,8,0,0.74304,-0.84336,1.124,0.0
2020,11,9,0,1.17779,-0.81672,1.43325,1.0
2020,11,10,0,1.51946,-0.80238,1.7183,0.0
2020,11,11,0,1.71582,-0.85977,1.91918,0.0
2020,11,12,0,1.85319,-1.00266,2.10705,2.0
2020,11,13,0,2.02029,-1.22068,2.36043,0.0
2020,11,14,0,2.07413,-1.37242,2.48708,0.0
2020,11,15,0,2.06642,-1.39275,2.49195,0.0
2020,11,16,0,2.00597,-1.32633,2.4048,0.0
2020,11,17,0,1.79934,-1.14706,2.13386,0.0
2020,11,18,0,1.52375,-0.84756,1.7436,5.0
2020,11,19,0,1.29446,-0.49489,1.38583,0.0
2020,11,20,0,1.02547,-0.08001,1.02859,1.0
2020,11,21,0,0.65392,0.2781,0.7106,0.0
2020,11,22,0,0.23145,0.47705,0.53023,0.0
2020,11,23,0,-0.09503,0.59396,0.60151,39.0
2020,11,24,0,-0.38567,0.62791,0.7369,0.0
2020,11,25,0,-0.67318,0.61209,0.90985,25.0
2020,11,26,0,-0.86155,0.56878,1.03236,55.0
2020,11,27,0,-0.99285,0.54982,1.13492,9.0
2020,11,28,0,-1.06678,0.52186,1.18758,25.0
2020,11,29,0,-1.07835,0.48893,1.18401,74.0
2020,11,30,0,-0.97723,0.46358,1.08161,95.0
2020,12,1,0,-0.86503,0.5035,1.00089,9.0
2020,12,2,0,-0.75251,0.56479,0.94088,10.0
2020,12,3,0,-0.60569,0.56385,0.82752,38.0
2020,12,4,0,-0.43551,0.49587,0.65997,0.0
2020,12,5,0,-0.25667,0.40113,0.47622,8.0
2020,12,6,0,-0.13797,0.28202,0.31397,7.0
2020,12,7,0,-0.02737,0.20707,0.20887,9.0
2020,12,8,0,0.10113,0.17006,0.19785,0.0
2020,12,9,0,0.15042,0.18966,0.24206,0.0
2020,12,10,0,0.04575,0.26565,0.26956,5.0
2020,12,11,0,-0.08858,0.35356,0.36449,0.0
2020,12,12,0,-0.16298,0.49876,0.52472,1.0
2020,12,13,0,-0.229,0.67808,0.71571,1.0
2020,12,14,0,-0.32652,0.90154,0.95885,0.0
2020,12,15,0,-0.40592,1.1518,1.22123,11.0
2020,12,16,0,-0.46541,1.26568,1.34853,41.0
2020,12,17,0,-0.54615,1.2515,1.36548,6.0
2020,12,18,0,-0.57088,1.15281,1.28642,1.0
2020,12,19,0,-0.48937,0.90881,1.03219,2.0
2020,12,20,0,-0.40044,0.64984,0.76331,0.0
2020,12,21,0,-0.33887,0.3881,0.51523,0.0
2020,12,22,0,-0.28411,0.13603,0.315,0.0
2020,12,23,0,-0.25639,-0.11454,0.28081,16.0
2020,12,24,0,-0.2001,-0.28642,0.3494,2.0
2020,12,25,0,-0.16191,-0.31387,0.35317,13.0
2020,12,26,0,-0.12242,-0.29657,0.32084,17.0
2020,12,27,0,-0.0306,-0.29467,0.29626,21.0
2020,12,28,0,0.08169,-0.18561,0.20279,38.0
2020,12,29,0,0.22133,-0.03775,0.22453,212.0
2020,12,30,0,0.36848,0.08888,0.37905,3.0
2020,12,31,0,0.5445,0.19953,0.57991,27.0
2021,1,1,0,0.7108,0.25784,0.75612,18.0
2021,1,2,0,0.84745,0.28591,0.89438,5.0
2021,1,3,0,0.9656,0.3155,1.01584,52.0
2021,1,4,0,1.07283,0.36396,1.13289,34.0
2021,1,5,0,1.15069,0.449,1.23519,18.0
2021,1,6,0,1.20465,0.51739,1.31105,3.0
2021,1,7,0,1.19617,0.54398,1.31406,13.0
2021,1,8,0,1.15265,0.53421,1.27042,1.0
2021,1,9,0,1.12831,0.54504,1.25305,5.0
2021,1,10,0,1.10881,0.64939,1.28498,24.0
2021,1,11,0,0.9822,0.74982,1.2357,8.0
2021,1,12,0,0.78055,0.80944,1.12448,7.0
2021,1,13,0,0.63041,0.87656,1.07971,0.0
2021,1,14,0,0.46679,0.92391,1.03513,6.0
2021,1,15,0,0.29834,0.93135,0.97797,63.0
2021,1,16,0,0.19423,0.90615,0.92673,0.0
2021,1,17,0,0.11026,0.84929,0.85642,9.0
2021,1,18,0,-0.02076,0.74799,0.74828,100.0
2021,1,19,0,-0.14547,0.62832,0.64494,11.0
2021,1,20,0,-0.13343,0.48745,0.50538,7.0
2021,1,21,0,-0.10554,0.33662,0.35278,4.0
2021,1,22,0,-0.1393,0.19464,0.23935,1.0
2021,1,23,0,-0.23698,0.10102,0.25761,13.0
2021,1,24,0,-0.34051,0.0666,0.34696,24.0
2021,1,25,0,-0.50775,0.14081,0.52691,1.0
2021,1,26,0,-0.62201,0.26776,0.67719,25.0
2021,1,27,0,-0.71886,0.37349,0.81009,25.0
2021,1,28,0,-0.7562,0.43465,0.87221,3.0
2021,1,29,0,-0.88721,0.43226,0.98692,4.0
2021,1,30,0,-1.02243,0.44996,1.11706,19.0
2021,1,31,0,-1.17409,0.40809,1.24299,17.0
2021,2,1,0,-1.29753,0.28742,1.32898,1.0
2021,2,2,0,-1.36118,0.10443,1.36518,9.0
2021,2,3,0,-1.35461,-0.13786,1.36161,22.0
2021,2,4,0,-1.35787,-0.37226,1.40797,19.0
2021,2,5,0,-1.31251,-0.61736,1.45045,13.0
2021,2,6,0,-1.26294,-0.87885,1.53863,12.0
2021,2,7,0,-1.16321,-1.08729,1.59225,23.0
2021,2,8,0,-1.08412,-1.25802,1.6607,214.0
2021,2,9,0,-1.04772,-1.30359,1.67244,26.0
2021,2,10,0,-0.9828,-1.31002,1.6377,1.0
2021,2,11,0,-0.88424,-1.27878,1.55472,4.0
2021,2,12,0,-0.79548,-1.25928,1.48949,0.0
2021,2,13,0,-0.7689,-1.27639,1.4901,0.0
2021,2,14,0,-0.7488,-1.27106,1.47523,0.0
2021,2,15,0,-0.70538,-1.21393,1.40399,1.0
2021,2,16,0,-0.6691,-1.21335,1.38561,10.0
2021,2,17,0,-0.64792,-1.27603,1.4311,1.0
2021,2,18,0,-0.52799,-1.3167,1.41862,0.0
2021,2,19,0,-0.37956,-1.22431,1.28179,70.0
2021,2,20,0,-0.31046,-1.09731,1.14038,27.0
2021,2,21,0,-0.29232,-1.00121,1.04301,23.0
2021,2,22,0,-0.17317,-0.91623,0.93245,2.0
2021,2,23,0,-0.00109,-0.80073,0.80073,69.0
2021,2,24,0,0.04684,-0.69157,0.69316,7.0
2021,2,25,0,0.04039,-0.48672,0.48839,0.0
2021,2,26,0,-0.02183,-0.18166,0.18296,94.0
2021,2,27,0,-0.18477,0.06335,0.19533,0.0
2021,2,28,0,-0.31616,0.09169,0.32919,0.0
2021,3,1,0,-0.31396,0.00359,0.31398,18.0
2021,3,2,0,-0.26579,-0.03695,0.26835,3.0
2021,3,3,0,-0.27355,0.02241,0.27446,4.0
2021,3,4,0,-0.31834,0.07918,0.32804,6.0
2021,3,5,0,-0.25588,0.1313,0.2876,16.0
2021,3,6,0,-0.155,0.16452,0.22603,4.0
2021,3,7,0,-0.06571,0.09534,0.11579,128.0
2021,3,8,0,0.0348,-0.09276,0.09907,75.0
2021,3,9,0,0.06036,-0.19844,0.20742,17.0
2021,3,10,0,0.0451,-0.17887,0.18446,3.0
2021,3,11,0,0.04223,-0.23126,0.23508,0.0
2021,3,12,0,0.06606,-0.41363,0.41887,4.0
2021,3,13,0,0.14989,-0.60234,0.62071,35.0
2021,3,14,0,0.25604,-0.72668,0.77047,25.0
2021,3,15,0,0.45211,-0.79407,0.91375,0.0
2021,3,16,0,0.65485,-0.76861,1.00975,0.0
2021,3,17,0,0.75731,-0.66981,1.01103,12.0
2021,3,18,0,0.88331,-0.54125,1.03595,14.0
2021,3,19,0,0.9925,-0.35705,1.05478,5.0
2021,3,20,0,1.09314,-0.20579,1.11235,3.0
2021,3,21,0,1.16063,-0.03793,1.16125,0.0
2021,3,22,0,1.22297,0.21316,1.24141,64.0
